id,home_quality,home_sqft,garage_cars,home_age,yr_remod,full_bath,masonry_veneer_area,total_rooms_above_ground,neighborhood,home_type,sale_price
109,6,2679.0,2.0,34,2005,2,289.0,6,Sawyer,Newer 2 Story,130500
544,7,3594.0,2.0,13,1997,2,132.0,8,SawyerW,Newer 2 Story,220000
153,5,2360.0,1.0,57,2007,1,0.0,5,NAmes,Newer 1 Story,109000
318,5,2228.0,2.0,4,2007,2,0.0,7,Timber,Newer 2 Story,174000
255,6,2605.0,2.0,110,1993,2,0.0,6,SawyerW,1.5 Story Finished,138500
138,6,3983.0,2.0,44,2002,2,0.0,6,NAmes,Newer 1 Story,190000
145,5,2907.0,2.0,51,1959,1,180.0,6,NAmes,Newer 1 Story,142000
1942,5,2268.0,1.0,55,1952,1,0.0,6,OldTown,Newer 1 Story,112500
1956,5,3624.0,2.0,38,1969,1,192.0,9,NAmes,Newer 2 Story,135000
1044,6,1734.0,1.0,37,1971,1,232.0,4,BrDale,2 Story PUD,85400
2752,7,3048.0,2.0,1,2005,2,0.0,6,CollgCr,Newer 1 Story,183600
807,5,2592.0,2.0,129,2007,1,0.0,7,SawyerW,Older 2 Story,131000
1177,8,3047.0,2.0,9,2000,2,456.0,7,Somerst,2 Story PUD,200000
1480,7,3322.0,2.0,1,2007,2,0.0,6,CollgCr,Newer 1 Story,193000
324,5,3484.0,2.0,6,2005,2,0.0,7,Mitchel,Newer 1 Story,173500
1311,5,2481.0,3.0,92,1950,1,0.0,7,OldTown,Older 2 Story,98000
770,5,2722.0,2.0,46,1963,1,0.0,5,Sawyer,Newer 1 Story,139000
2063,6,2473.0,2.0,30,1977,1,148.0,7,Sawyer,Newer 1 Story,143500
69,7,2917.0,2.0,1,2009,2,0.0,7,Somerst,Newer 2 Story,215200
2062,5,2238.0,2.0,39,1968,1,0.0,5,Sawyer,Newer 1 Story,129000
351,8,3659.0,2.0,9,2000,2,0.0,5,StoneBr,1 Story PUD,278000
2393,8,4037.0,2.0,1,2006,2,0.0,8,NridgHt,Newer 2 Story,344133
12,6,2775.0,2.0,18,2007,2,0.0,6,Gilbert,Newer 1 Story,185000
2339,5,2684.0,2.0,51,1955,1,0.0,5,Gilbert,2 Family Conversion,145000
624,6,3436.0,2.0,48,1961,2,3.0,6,NAmes,Newer 1 Story,187500
86,5,2124.0,1.0,45,2009,1,0.0,5,Sawyer,Newer 1 Story,138500
1534,5,3120.0,1.0,71,1995,2,0.0,7,Crawfor,1.5 Story Finished,198000
2243,5,2948.0,0.0,112,2006,2,0.0,9,IDOTRR,2 Family Conversion,119600
